match_id;team_id;date_id;result;min;pts
10182022GSW;GSW;1;W;48;123
10182022GSW;LAL;1;L;48;109
10182022BOS;PHI;1;L;48;117
10182022BOS;BOS;1;W;48;126
10192022SAS;CHA;2;W;48;129
10192022IND;WAS;2;W;48;114
10192022MIN;MIN;2;W;48;115
10192022SAS;SAS;2;L;48;102
10192022DET;ORL;2;L;48;109
10192022DET;DET;2;W;48;113
10192022MEM;NYK;2;L;53;112
10192022MEM;MEM;2;W;53;115
10192022BKN;NOP;2;W;48;130
10192022TOR;CLE;2;L;48;105
10192022TOR;TOR;2;W;48;108
10192022UTA;UTA;2;W;48;123
10192022PHX;DAL;2;L;48;105
10192022PHX;PHX;2;W;48;107
10192022BKN;BKN;2;L;48;108
10192022ATL;ATL;2;W;48;117
10192022UTA;DEN;2;L;48;102
10192022MIA;MIA;2;L;48;108
10192022MIA;CHI;2;W;48;116
10192022IND;IND;2;L;48;107
10192022MIN;OKC;2;L;48;108
10192022SAC;SAC;2;L;48;108
10192022ATL;HOU;2;L;48;107
10192022SAC;POR;2;W;48;115
10202022LAL;LAC;3;W;48;103
10202022PHI;MIL;3;W;48;90
10202022LAL;LAL;3;L;48;97
10202022PHI;PHI;3;L;48;88
10212022NYK;DET;4;L;48;106
10212022CHA;NOP;4;W;48;124
10212022WAS;WAS;4;W;48;102
10212022POR;POR;4;W;53;113
10212022IND;SAS;4;W;48;137
10212022ATL;ATL;4;W;48;108
10212022BKN;BKN;4;W;48;109
10212022GSW;DEN;4;W;48;128
10212022MIN;UTA;4;W;53;132
10212022MIA;BOS;4;W;48;111
10212022HOU;MEM;4;W;48;129
10212022ATL;ORL;4;L;48;98
10212022MIA;MIA;4;L;48;104
10212022HOU;HOU;4;L;48;122
10212022CHA;CHA;4;L;48;112
10212022MIN;MIN;4;L;53;126
10212022GSW;GSW;4;L;48;123
10212022NYK;NYK;4;W;48;130
10212022BKN;TOR;4;L;48;105
10212022IND;IND;4;L;48;134
10212022WAS;CHI;4;L;48;100
10212022POR;PHX;4;L;53;111
10222022DAL;DAL;5;W;48;137
10222022PHI;PHI;5;L;48;105
10222022DAL;MEM;5;L;48;96
10222022IND;DET;5;L;48;115
10222022PHI;SAS;5;W;48;114
10222022MIL;HOU;5;L;48;105
10222022IND;IND;5;W;48;124
10222022CHI;CLE;5;W;48;128
10222022ORL;ORL;5;L;48;120
10222022SAC;LAC;5;W;48;111
10222022MIL;MIL;5;W;48;125
10222022DEN;OKC;5;L;48;117
10222022SAC;SAC;5;L;48;109
10222022MIA;MIA;5;W;48;112
10222022ORL;BOS;5;W;48;126
10222022DEN;DEN;5;W;48;122
10222022CHI;CHI;5;L;48;96
10222022MIA;TOR;5;L;48;109
10232022NOP;UTA;6;W;53;122
10232022OKC;OKC;6;L;48;106
10232022CLE;WAS;6;L;53;107
10232022CLE;CLE;6;W;53;117
10232022LAC;LAC;6;L;48;95
10232022ATL;ATL;6;L;48;109
10232022OKC;MIN;6;W;48;116
10232022GSW;GSW;6;W;48;130
10232022LAL;POR;6;W;48;106
10232022NOP;NOP;6;L;53;121
10232022LAL;LAL;6;L;48;104
10232022GSW;SAC;6;L;48;125
10232022LAC;PHX;6;W;48;112
10232022ATL;CHA;6;W;48;126
10242022HOU;HOU;7;W;48;114
10242022CHI;BOS;7;L;48;102
10242022MIA;MIA;7;L;48;90
10242022PHI;IND;7;L;48;106
10242022MIA;TOR;7;W;48;98
10242022MIN;SAS;7;W;48;115
10242022CHI;CHI;7;W;48;120
10242022POR;DEN;7;L;48;110
10242022MEM;BKN;7;L;48;124
10242022MEM;MEM;7;W;48;134
10242022NYK;ORL;7;L;48;102
10242022MIN;MIN;7;L;48;106
10242022NYK;NYK;7;W;48;115
10242022HOU;UTA;7;L;48;108
10242022POR;POR;7;W;48;135
10242022PHI;PHI;7;W;48;120
10252022WAS;WAS;8;W;48;120
10252022PHX;PHX;8;W;48;134
10252022NOP;NOP;8;W;48;113
10252022NOP;DAL;8;L;48;111
10252022OKC;OKC;8;W;48;108
10252022PHX;GSW;8;L;48;105
10252022OKC;LAC;8;L;48;94
10252022WAS;DET;8;L;48;99
10262022CLE;CLE;9;W;48;103
10262022TOR;TOR;9;W;48;119
10262022CHI;IND;9;L;48;109
10262022CHI;CHI;9;W;48;124
10262022NYK;CHA;9;L;53;131
10262022MIL;BKN;9;L;48;99
10262022POR;POR;9;L;48;98
10262022UTA;HOU;9;L;48;101
10262022DET;ATL;9;W;48;118
10262022CLE;ORL;9;L;48;92
10262022UTA;UTA;9;W;48;109
10262022POR;MIA;9;W;48;119
10262022MIN;SAS;9;L;48;122
10262022MIL;MIL;9;W;48;110
10262022MIN;MIN;9;W;48;134
10262022DET;DET;9;L;48;113
10262022DEN;LAL;9;L;48;99
10262022NYK;NYK;9;W;53;134
10262022DEN;DEN;9;W;48;110
10262022TOR;PHI;9;L;48;109
10272022BKN;DAL;10;W;53;129
10272022GSW;GSW;10;W;48;123
10272022GSW;MIA;10;L;48;110
10272022SAC;MEM;10;W;48;125
10272022SAC;SAC;10;L;48;110
10272022OKC;LAC;10;L;48;110
10272022OKC;OKC;10;W;48;118
10272022BKN;BKN;10;L;53;125
10282022WAS;WAS;11;L;48;117
10282022MIL;NYK;11;L;48;108
10282022MIN;MIN;11;W;48;111
10282022BOS;CLE;11;W;53;132
10282022ORL;CHA;11;L;48;93
10282022PHX;NOP;11;L;48;111
10282022POR;HOU;11;L;48;111
10282022DEN;UTA;11;L;48;101
10282022DET;DET;11;L;48;112
10282022MIN;LAL;11;L;48;102
10282022DET;ATL;11;W;48;136
10282022TOR;TOR;11;L;48;90
10282022POR;POR;11;W;48;125
10282022DEN;DEN;11;W;48;117
10282022WAS;IND;11;W;48;127
10282022SAS;SAS;11;W;48;129
10282022MIL;MIL;11;W;48;119
10282022PHX;PHX;11;W;48;124
10282022TOR;PHI;11;W;48;112
10282022SAS;CHI;11;L;48;124
10282022ORL;ORL;11;W;48;113
10282022BOS;BOS;11;L;53;123
10292022SAC;SAC;12;W;48;119
10292022MIL;MIL;12;W;48;123
10292022UTA;UTA;12;W;48;124
10292022CHA;CHA;12;W;53;120
10292022DAL;DAL;12;L;53;111
10292022UTA;MEM;12;L;48;123
10292022SAC;MIA;12;L;48;113
10292022MIL;ATL;12;L;48;115
10292022DAL;OKC;12;W;53;117
10292022CHI;CHI;12;L;48;109
10292022CHA;GSW;12;L;53;113
10292022CHI;PHI;12;W;48;114
10292022BKN;BKN;12;L;48;116
10292022BKN;IND;12;W;48;125
10302022LAL;LAL;13;W;48;121
10302022PHX;PHX;13;W;48;124
10302022PHX;HOU;13;L;48;109
10302022LAC;LAC;13;L;48;91
10302022CLE;NYK;13;L;48;108
10302022DET;DET;13;W;48;128
10302022DAL;DAL;13;W;48;114
10302022SAS;MIN;13;L;48;98
10302022BOS;BOS;13;W;48;112
10302022CLE;CLE;13;W;48;121
10302022SAS;SAS;13;W;48;107
10302022LAC;NOP;13;W;48;112
10302022BOS;WAS;13;L;48;94
10302022DET;GSW;13;L;48;114
10302022DAL;ORL;13;L;48;105
10302022LAL;DEN;13;L;48;110
10312022WAS;WAS;14;L;48;111
10312022TOR;TOR;14;W;48;139
10312022UTA;MEM;14;L;48;105
10312022BKN;IND;14;L;48;109
10312022LAC;HOU;14;L;48;93
10312022UTA;UTA;14;W;48;121
10312022LAC;LAC;14;W;48;95
10312022TOR;ATL;14;L;48;109
10312022BKN;BKN;14;W;48;116
10312022MIL;DET;14;L;48;108
10312022CHA;SAC;14;W;48;115
10312022CHA;CHA;14;L;48;108
10312022MIL;MIL;14;W;48;110
10312022WAS;PHI;14;W;48;118
11012022OKC;ORL;15;L;48;108
11012022MIA;MIA;15;W;48;116
11012022PHX;MIN;15;L;48;107
11012022BKN;BKN;15;L;48;99
11012022MIA;GSW;15;L;48;109
11012022PHX;PHX;15;W;48;116
11012022BKN;CHI;15;W;48;108
11012022OKC;OKC;15;W;48;116
11022022MIA;MIA;16;W;48;110
11022022DAL;DAL;16;W;48;103
11022022POR;MEM;16;W;48;111
11022022LAL;LAL;16;W;53;120
11022022CHI;CHI;16;W;48;106
11022022SAS;TOR;16;W;48;143
11022022NYK;ATL;16;W;48;112
11022022MIL;DET;16;L;48;91
11022022MIL;MIL;16;W;48;116
11022022POR;POR;16;L;48;106
11022022NYK;NYK;16;L;48;99
11022022SAS;SAS;16;L;48;100
11022022LAL;NOP;16;L;53;117
11022022DAL;UTA;16;L;48;100
11022022PHI;WAS;16;W;48;121
11022022PHI;PHI;16;L;48;111
11022022MIA;SAC;16;L;48;107
11022022CHI;CHA;16;L;48;88
11022022CLE;CLE;16;W;53;114
11022022HOU;LAC;16;W;48;109
11022022CLE;BOS;16;L;53;113
11022022HOU;HOU;16;L;48;101
11032022OKC;OKC;17;L;48;110
11032022ORL;ORL;17;W;48;130
11032022ORL;GSW;17;L;48;129
11032022OKC;DEN;17;W;48;122
11042022BOS;BOS;18;W;48;123
11042022IND;IND;18;W;48;101
11042022DAL;DAL;18;W;48;111
11042022DET;CLE;18;W;48;112
11042022MIN;MIN;18;L;48;102
11042022BOS;CHI;18;L;48;119
11042022DAL;TOR;18;L;48;110
11042022PHX;POR;18;W;48;108
11042022MEM;MEM;18;W;48;130
11042022LAL;LAL;18;L;48;116
11042022MEM;CHA;18;L;48;99
11042022IND;MIA;18;L;48;99
11042022PHI;PHI;18;L;48;104
11042022PHX;PHX;18;L;48;106
11042022PHI;NYK;18;W;48;106
11042022SAS;SAS;18;L;48;106
11042022SAS;LAC;18;W;48;113
11042022NOP;GSW;18;L;48;105
11042022LAL;UTA;18;W;48;130
11042022WAS;WAS;18;L;48;86
11042022MIN;MIL;18;W;48;115
11042022NOP;NOP;18;W;48;114
11042022WAS;BKN;18;W;48;128
11042022DET;DET;18;L;48;88
11052022ATL;NOP;19;L;53;121
11052022ORL;SAC;19;W;53;126
11052022ORL;ORL;19;L;53;123
11052022MIN;HOU;19;L;48;117
11052022DEN;SAS;19;L;48;101
11052022NYK;NYK;19;L;48;118
11052022PHX;PHX;19;W;48;102
11052022MIL;OKC;19;L;48;94
11052022PHX;POR;19;L;48;82
11052022CHA;CHA;19;L;48;94
11052022ATL;ATL;19;W;53;124
11052022MIL;MIL;19;W;48;108
11052022MIN;MIN;19;W;48;129
11052022CHA;BKN;19;W;48;98
11052022NYK;BOS;19;W;48;133
11052022DEN;DEN;19;W;48;126
11062022MEM;MEM;20;W;48;103
11062022TOR;CHI;20;L;48;104
11062022LAC;LAC;20;L;48;102
11062022TOR;TOR;20;W;48;113
11062022LAC;UTA;20;W;48;110
11062022LAL;CLE;20;W;48;114
11062022LAL;LAL;20;L;48;100
11062022MEM;WAS;20;L;48;97
11072022CHI;TOR;21;L;48;97
11072022PHI;PHX;21;L;48;88
11072022CHA;CHA;21;L;48;100
11072022IND;IND;21;W;48;129
11072022DET;DET;21;W;48;112
11072022DET;OKC;21;L;48;103
11072022ATL;MIL;21;L;48;98
11072022UTA;UTA;21;W;48;139
11072022UTA;LAL;21;L;48;116
11072022LAC;CLE;21;L;48;117
11072022ORL;ORL;21;L;48;127
11072022DAL;BKN;21;L;48;94
11072022CHA;WAS;21;W;48;108
11072022MIN;MIN;21;L;48;107
