match_id;team_id;date_id;fgm;fga;fgp;tpm;tpa;tpp;ftm;fta;ftp;oreb;dreb;reb;ast;tov;stl;blk;pf
04022023ATL;ATL;158;51;108;47.2;12;35;34.3;18;22;81.8;16;37;53;28;11;10;3;22
04022023CHA;CHA;158;42;85;49.4;15;31;48.4;9;13;69.2;10;27;37;26;18;3;4;11
04022023MIL;PHI;158;40;87;46.0;12;36;33.3;12;13;92.3;11;25;36;19;11;3;2;17
04022023MIN;POR;158;43;93;46.2;9;30;30.0;12;20;60.0;11;31;42;29;10;12;3;26
04022023MIL;MIL;158;46;80;57.5;10;28;35.7;15;21;71.4;7;35;42;28;12;8;5;17
04022023SAC;SAS;158;52;98;53.1;13;34;38.2;25;29;86.2;14;38;52;31;18;8;3;25
04022023HOU;LAL;158;52;93;55.9;9;30;30.0;21;28;75.0;11;40;51;36;6;4;8;9
04022023ATL;DAL;158;49;95;51.6;10;38;26.3;22;32;68.8;10;37;47;24;14;4;3;15
04022023DEN;DEN;158;44;100;44.0;9;33;27.3;15;18;83.3;17;30;47;24;13;11;7;17
04022023ORL;ORL;158;43;75;57.3;17;33;51.5;25;40;62.5;7;34;41;30;16;11;6;26
04022023MIN;MIN;158;38;79;48.1;11;26;42.3;18;23;78.3;7;40;47;29;18;3;5;17
04022023DEN;GSW;158;42;105;40.0;9;42;21.4;17;17;100.0;22;35;57;26;15;9;4;22
04022023BKN;BKN;158;38;86;44.2;9;32;28.1;26;34;76.5;7;33;40;25;9;6;2;26
04022023NYK;NYK;158;46;88;52.3;13;32;40.6;13;18;72.2;7;32;39;31;12;12;4;17
04022023BKN;UTA;158;40;91;44.0;8;32;25.0;22;30;73.3;11;41;52;24;11;5;1;23
04022023OKC;OKC;158;36;88;40.9;11;32;34.4;35;41;85.4;13;28;41;21;8;7;0;23
04022023CHI;CHI;158;50;94;53.2;9;31;29.0;19;22;86.4;4;32;36;29;3;9;6;13
04022023OKC;PHX;158;46;81;56.8;13;34;38.2;23;28;82.1;5;33;38;31;13;4;6;30
