;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;+/-
0;ATL vs. DAL;04/02/2023;W;53;132;51;108;47.2;12;35;34.3;18;22;81.8;16;37;53;28;11;10;3;22;2
1;CHA vs. TOR;04/02/2023;L;48;108;42;85;49.4;15;31;48.4;9;13;69.2;10;27;37;26;18;3;4;11;-20
2;PHI @ MIL;04/02/2023;L;48;104;40;87;46.0;12;36;33.3;12;13;92.3;11;25;36;19;11;3;2;17;-13
3;POR @ MIN;04/02/2023;W;48;107;43;93;46.2;9;30;30.0;12;20;60.0;11;31;42;29;10;12;3;26;2
4;MIL vs. PHI;04/02/2023;W;48;117;46;80;57.5;10;28;35.7;15;21;71.4;7;35;42;28;12;8;5;17;13
5;SAS @ SAC;04/02/2023;W;53;142;52;98;53.1;13;34;38.2;25;29;86.2;14;38;52;31;18;8;3;25;8
6;LAL @ HOU;04/02/2023;W;48;134;52;93;55.9;9;30;30.0;21;28;75.0;11;40;51;36;6;4;8;9;25
7;DAL @ ATL;04/02/2023;L;53;130;49;95;51.6;10;38;26.3;22;32;68.8;10;37;47;24;14;4;3;15;-2
8;DEN vs. GSW;04/02/2023;W;48;112;44;100;44.0;9;33;27.3;15;18;83.3;17;30;47;24;13;11;7;17;2
9;ORL vs. DET;04/02/2023;W;48;128;43;75;57.3;17;33;51.5;25;40;62.5;7;34;41;30;16;11;6;26;26
10;MIN vs. POR;04/02/2023;L;48;105;38;79;48.1;11;26;42.3;18;23;78.3;7;40;47;29;18;3;5;17;-2
11;GSW @ DEN;04/02/2023;L;48;110;42;105;40.0;9;42;21.4;17;17;100;22;35;57;26;15;9;4;22;-2
12;BKN vs. UTA;04/02/2023;W;48;111;38;86;44.2;9;32;28.1;26;34;76.5;7;33;40;25;9;6;2;26;1
13;NYK vs. WAS;04/02/2023;W;48;118;46;88;52.3;13;32;40.6;13;18;72.2;7;32;39;31;12;12;4;17;9
14;UTA @ BKN;04/02/2023;L;48;110;40;91;44.0;8;32;25.0;22;30;73.3;11;41;52;24;11;5;1;23;-1
15;OKC vs. PHX;04/02/2023;L;48;118;36;88;40.9;11;32;34.4;35;41;85.4;13;28;41;21;8;7;0;23;-10
16;CHI vs. MEM;04/02/2023;W;48;128;50;94;53.2;9;31;29.0;19;22;86.4;4;32;36;29;3;9;6;13;21
17;PHX @ OKC;04/02/2023;W;48;128;46;81;56.8;13;34;38.2;23;28;82.1;5;33;38;31;13;4;6;30;10
18;WAS @ NYK;04/02/2023;L;48;109;39;79;49.4;16;37;43.2;15;18;83.3;5;33;38;26;19;9;5;18;-9
19;IND @ CLE;04/02/2023;L;48;105;36;83;43.4;9;24;37.5;24;29;82.8;11;33;44;21;17;5;6;26;-10
20;MEM @ CHI;04/02/2023;L;48;107;39;84;46.4;19;43;44.2;10;12;83.3;8;39;47;29;18;1;3;22;-21
21;DET @ ORL;04/02/2023;L;48;102;32;78;41.0;9;33;27.3;29;36;80.6;9;29;38;22;16;4;1;29;-26
22;CLE vs. IND;04/02/2023;W;48;115;44;90;48.9;9;24;37.5;18;26;69.2;13;30;43;23;13;7;7;22;10
23;HOU vs. LAL;04/02/2023;L;48;109;44;102;43.1;13;34;38.2;8;10;80.0;16;28;44;23;10;4;4;18;-25
24;SAC vs. SAS;04/02/2023;L;53;134;49;103;47.6;11;44;25.0;25;32;78.1;13;30;43;24;15;9;5;23;-8
25;TOR @ CHA;04/02/2023;W;48;128;56;104;53.8;8;28;28.6;8;8;100;15;30;45;38;8;8;6;14;20
26;NOP vs. LAC;04/01/2023;W;48;122;42;86;48.8;7;17;41.2;31;35;88.6;14;26;40;21;7;6;5;15;8
27;DAL @ MIA;04/01/2023;L;48;122;47;77;61.0;14;34;41.2;14;16;87.5;1;30;31;32;14;3;2;23;-7
28;MIA vs. DAL;04/01/2023;W;48;129;45;86;52.3;13;37;35.1;26;29;89.7;10;26;36;27;11;6;0;16;7
29;LAC @ NOP;04/01/2023;L;48;114;42;85;49.4;11;29;37.9;19;23;82.6;11;26;37;25;13;5;4;29;-8
30;TOR @ PHI;03/31/2023;L;48;110;42;84;50.0;8;26;30.8;18;23;78.3;14;20;34;26;13;6;3;19;-7
31;CHI @ CHA;03/31/2023;W;48;121;45;88;51.1;13;31;41.9;18;22;81.8;9;33;42;25;7;12;4;13;30
32;CLE vs. NYK;03/31/2023;L;48;116;44;86;51.2;17;37;45.9;11;13;84.6;3;30;33;33;10;2;9;21;-14
33;CHA vs. CHI;03/31/2023;L;48;91;35;77;45.5;14;37;37.8;7;10;70.0;4;32;36;27;22;3;5;21;-30
34;SAS @ GSW;03/31/2023;L;48;115;42;91;46.2;15;38;39.5;16;23;69.6;14;32;46;27;15;8;4;20;-15
35;LAC @ MEM;03/31/2023;L;48;94;34;90;37.8;11;35;31.4;15;18;83.3;12;38;50;26;18;5;8;14;-14
36;UTA @ BOS;03/31/2023;L;48;114;46;96;47.9;9;29;31.0;13;14;92.9;13;39;52;23;18;3;7;17;-8
37;DET @ HOU;03/31/2023;L;48;115;43;89;48.3;11;35;31.4;18;27;66.7;13;27;40;24;12;7;7;28;-6
38;BKN vs. ATL;03/31/2023;W;48;124;49;88;55.7;15;33;45.5;11;13;84.6;9;32;41;33;13;9;3;17;17
39;PHX vs. DEN;03/31/2023;W;48;100;37;88;42.0;10;27;37.0;16;21;76.2;13;38;51;28;16;8;7;16;7
40;DEN @ PHX;03/31/2023;L;48;93;38;95;40.0;6;26;23.1;11;20;55.0;15;36;51;19;11;11;5;16;-7
41;SAC @ POR;03/31/2023;W;48;138;54;88;61.4;19;39;48.7;11;15;73.3;8;33;41;38;13;11;7;21;24
42;MIN vs. LAL;03/31/2023;L;48;111;41;95;43.2;13;39;33.3;16;19;84.2;12;27;39;25;16;10;4;22;-12
43;HOU vs. DET;03/31/2023;W;48;121;38;83;45.8;11;31;35.5;34;45;75.6;14;32;46;18;12;9;5;24;6
44;GSW vs. SAS;03/31/2023;W;48;130;47;93;50.5;21;49;42.9;15;21;71.4;14;31;45;37;15;5;4;18;15
45;NYK @ CLE;03/31/2023;W;48;130;49;93;52.7;17;36;47.2;15;24;62.5;16;32;48;24;10;6;5;12;14
46;WAS vs. ORL;03/31/2023;L;48;109;41;105;39.0;17;50;34.0;10;12;83.3;15;36;51;24;13;5;5;24;-7
47;ORL @ WAS;03/31/2023;W;48;116;44;88;50.0;8;24;33.3;20;26;76.9;6;42;48;26;11;2;14;16;7
48;PHI vs. TOR;03/31/2023;W;48;117;41;73;56.2;12;31;38.7;23;25;92.0;9;28;37;28;18;7;6;20;7
49;MEM vs. LAC;03/31/2023;W;48;108;43;96;44.8;9;33;27.3;13;17;76.5;12;39;51;25;15;11;7;16;14
50;POR vs. SAC;03/31/2023;L;48;114;40;85;47.1;19;38;50.0;15;23;65.2;9;24;33;29;20;9;6;15;-24
51;IND vs. OKC;03/31/2023;W;48;121;45;98;45.9;12;41;29.3;19;28;67.9;20;36;56;30;16;5;4;21;4
52;OKC @ IND;03/31/2023;L;48;117;42;88;47.7;4;30;13.3;29;34;85.3;11;34;45;21;11;10;3;24;-4
53;ATL @ BKN;03/31/2023;L;48;107;39;91;42.9;8;37;21.6;21;23;91.3;16;30;46;23;11;6;3;14;-17
54;BOS vs. UTA;03/31/2023;W;48;122;42;96;43.8;17;51;33.3;21;22;95.5;10;32;42;27;12;8;4;14;8
55;LAL @ MIN;03/31/2023;W;48;123;45;90;50.0;9;22;40.9;24;30;80.0;15;38;53;28;16;10;5;17;12
56;DEN vs. NOP;03/30/2023;L;48;88;32;80;40.0;4;28;14.3;20;32;62.5;11;29;40;21;10;4;5;21;-19
57;NOP @ DEN;03/30/2023;W;48;107;38;80;47.5;13;27;48.1;18;22;81.8;8;38;46;22;12;6;1;24;19
58;BOS @ MIL;03/30/2023;W;48;140;51;91;56.0;22;43;51.2;16;20;80.0;7;40;47;28;9;8;5;18;41
59;MIL vs. BOS;03/30/2023;L;48;99;38;101;37.6;14;43;32.6;9;13;69.2;15;30;45;22;13;4;1;16;-41
60;SAC @ POR;03/29/2023;W;48;120;42;92;45.7;18;48;37.5;18;24;75.0;10;49;59;30;10;9;4;11;40
61;PHX vs. MIN;03/29/2023;W;48;107;40;96;41.7;6;20;30.0;21;27;77.8;15;33;48;23;8;11;8;16;7
62;HOU @ BKN;03/29/2023;L;48;114;46;98;46.9;9;30;30.0;13;21;61.9;20;32;52;21;10;9;2;18;-9
63;MEM vs. LAC;03/29/2023;L;48;132;49;95;51.6;11;32;34.4;23;28;82.1;14;31;45;26;13;8;4;20;-9
64;PHI vs. DAL;03/29/2023;W;48;116;37;80;46.3;17;36;47.2;25;30;83.3;11;32;43;26;11;9;4;19;8
65;MIN @ PHX;03/29/2023;L;48;100;40;90;44.4;12;35;34.3;8;12;66.7;16;38;54;24;21;4;4;24;-7
66;MIA @ NYK;03/29/2023;L;48;92;35;79;44.3;13;39;33.3;9;14;64.3;6;29;35;20;11;5;0;18;-9
67;CHI vs. LAL;03/29/2023;L;48;110;45;88;51.1;9;33;27.3;11;13;84.6;6;26;32;31;14;10;4;22;-11
68;MIL @ IND;03/29/2023;W;48;149;58;93;62.4;10;25;40.0;23;30;76.7;14;38;52;28;19;5;5;18;13
69;POR vs. SAC;03/29/2023;L;48;80;30;93;32.3;9;39;23.1;11;12;91.7;8;37;45;18;14;5;6;15;-40
70;IND vs. MIL;03/29/2023;L;48;136;53;101;52.5;14;30;46.7;16;22;72.7;10;19;29;36;8;9;4;25;-13
71;DAL @ PHI;03/29/2023;L;48;108;38;83;45.8;18;46;39.1;14;18;77.8;8;32;40;24;14;3;3;22;-8
72;SAS vs. UTA;03/29/2023;L;48;117;45;95;47.4;10;35;28.6;17;21;81.0;9;30;39;31;15;10;4;16;-11
73;DET @ OKC;03/29/2023;L;48;106;40;80;50.0;16;33;48.5;10;14;71.4;10;32;42;27;18;1;3;22;-1
74;NYK vs. MIA;03/29/2023;W;48;101;38;76;50.0;13;31;41.9;12;23;52.2;9;38;47;22;16;8;3;14;9
75;OKC vs. DET;03/29/2023;W;48;107;39;87;44.8;10;29;34.5;19;25;76.0;10;28;38;19;10;7;3;18;1
76;LAC @ MEM;03/29/2023;W;48;141;48;78;61.5;22;37;59.5;23;31;74.2;3;29;32;28;16;8;4;21;9
77;UTA @ SAS;03/29/2023;W;48;128;49;90;54.4;12;31;38.7;18;20;90.0;8;37;45;28;16;5;6;17;11
78;LAL @ CHI;03/29/2023;W;48;121;45;86;52.3;7;20;35.0;24;30;80.0;13;32;45;22;16;10;3;14;11
79;BKN vs. HOU;03/29/2023;W;48;123;44;82;53.7;17;35;48.6;18;27;66.7;8;33;41;33;12;4;9;18;9
80;CHA @ OKC;03/28/2023;W;48;137;52;94;55.3;14;35;40.0;19;30;63.3;15;37;52;34;18;6;7;24;3
81;BOS @ WAS;03/28/2023;L;48;111;45;93;48.4;11;44;25.0;10;11;90.9;7;31;38;29;12;5;8;14;-19
82;WAS vs. BOS;03/28/2023;W;48;130;54;99;54.5;13;37;35.1;9;13;69.2;6;37;43;33;11;7;3;13;19
83;OKC vs. CHA;03/28/2023;L;48;134;50;96;52.1;11;30;36.7;23;29;79.3;7;32;39;25;11;11;3;21;-3
84;MIA @ TOR;03/28/2023;L;48;92;32;80;40.0;10;33;30.3;18;19;94.7;12;31;43;18;16;6;3;10;-14
85;MEM vs. ORL;03/28/2023;W;48;113;42;88;47.7;12;34;35.3;17;23;73.9;7;42;49;26;17;11;6;17;5
86;TOR vs. MIA;03/28/2023;W;48;106;45;93;48.4;8;36;22.2;8;9;88.9;15;32;47;32;9;8;7;13;14
87;NOP @ GSW;03/28/2023;L;48;109;42;90;46.7;12;27;44.4;13;14;92.9;11;30;41;30;19;6;4;18;-11
88;ORL @ MEM;03/28/2023;L;48;108;41;100;41.0;14;49;28.6;12;15;80.0;8;39;47;24;16;9;8;15;-5
89;CLE @ ATL;03/28/2023;L;48;118;47;93;50.5;9;25;36.0;15;22;68.2;10;30;40;20;8;5;6;24;-2
90;GSW vs. NOP;03/28/2023;W;48;120;43;82;52.4;18;40;45.0;16;22;72.7;11;30;41;32;19;11;4;18;11
91;ATL vs. CLE;03/28/2023;W;48;120;41;89;46.1;12;27;44.4;26;33;78.8;14;37;51;25;15;5;3;16;2
92;DET vs. MIL;03/27/2023;L;48;117;41;92;44.6;7;24;29.2;28;36;77.8;14;33;47;22;10;5;0;20;-9
93;HOU @ NYK;03/27/2023;L;48;115;42;87;48.3;7;26;26.9;24;29;82.8;13;27;40;24;14;6;4;18;-22
94;PHX @ UTA;03/27/2023;W;48;117;43;101;42.6;11;36;30.6;20;22;90.9;18;31;49;31;7;7;7;20;14
95;DAL @ IND;03/27/2023;W;48;127;47;83;56.6;18;37;48.6;15;17;88.2;4;29;33;29;13;7;8;23;23
96;LAC vs. CHI;03/27/2023;W;48;124;48;81;59.3;20;40;50.0;8;16;50.0;6;31;37;41;18;10;4;17;12
97;IND vs. DAL;03/27/2023;L;48;104;39;93;41.9;8;28;28.6;18;23;78.3;14;29;43;20;14;6;3;19;-23
98;MIL @ DET;03/27/2023;W;48;126;45;95;47.4;14;45;31.1;22;26;84.6;15;35;50;28;9;5;4;23;9
99;NYK vs. HOU;03/27/2023;W;48;137;50;86;58.1;17;39;43.6;20;28;71.4;7;32;39;35;11;11;8;20;22
100;CHI @ LAC;03/27/2023;L;48;112;44;82;53.7;9;23;39.1;15;21;71.4;8;26;34;26;15;9;3;11;-12
101;PHI @ DEN;03/27/2023;L;48;111;43;89;48.3;8;30;26.7;17;22;77.3;11;29;40;18;11;10;3;20;-5
102;NOP @ POR;03/27/2023;W;48;124;49;86;57.0;12;28;42.9;14;17;82.4;8;45;53;31;17;5;6;16;34
103;SAC vs. MIN;03/27/2023;L;48;115;39;84;46.4;5;27;18.5;32;40;80.0;12;30;42;16;10;4;4;23;-4
104;UTA vs. PHX;03/27/2023;L;48;103;38;86;44.2;9;36;25.0;18;27;66.7;10;37;47;25;13;2;7;19;-14
105;POR vs. NOP;03/27/2023;L;48;90;35;90;38.9;7;33;21.2;13;15;86.7;6;23;29;15;12;6;2;16;-34
106;MIN @ SAC;03/27/2023;W;48;119;44;86;51.2;9;24;37.5;22;34;64.7;11;29;40;33;6;6;3;27;4
107;DEN vs. PHI;03/27/2023;W;48;116;43;85;50.6;11;32;34.4;19;22;86.4;10;32;42;34;12;8;4;16;5
108;DAL @ CHA;03/26/2023;L;48;104;32;84;38.1;19;49;38.8;21;22;95.5;3;34;37;18;8;8;7;24;-6
109;SAS @ BOS;03/26/2023;L;48;93;36;97;37.1;8;36;22.2;13;18;72.2;3;35;38;22;10;7;0;16;-44
110;ATL vs. MEM;03/26/2023;L;48;119;45;98;45.9;7;31;22.6;22;26;84.6;14;34;48;27;10;4;5;15;-4
111;MIN @ GSW;03/26/2023;W;48;99;34;80;42.5;17;40;42.5;14;25;56.0;9;40;49;25;17;10;2;20;3
112;POR vs. OKC;03/26/2023;L;48;112;39;82;47.6;14;32;43.8;20;27;74.1;8;29;37;18;18;5;7;22;-6
113;HOU @ CLE;03/26/2023;L;48;91;35;80;43.8;6;25;24.0;15;18;83.3;12;24;36;20;19;6;1;22;-17
114;CHA vs. DAL;03/26/2023;W;48;110;39;88;44.3;12;29;41.4;20;24;83.3;14;44;58;27;14;6;2;18;6
